timestamp,model_id,block,total_blocks,layer,rank,cost_per_rank,binary_bits,pre_quant_loss,post_quant_loss,quant_jump,normalized_jump,final_tuned_loss,residual_jump,normalized_residual_jump,utility_per_bit
2026-07-11 12:47:27,google/gemma-3-4b-it,7,34,mlp.up_proj,2144,12816,27477504,489.4112854003906,933.1261596679688,443.7148742675781,0.90662983773366,559.8181762695312,70.40689086914062,0.14386037463672355,5.23556923644606e-09
2026-07-11 12:49:23,google/gemma-3-4b-it,7,34,mlp.down_proj,1792,12816,22966272,458.2752380371094,697.7838745117188,239.50863647460938,0.5226305429472383,475.6276550292969,17.3524169921875,0.03786461836016191,1.6487054738427687e-09
2026-07-11 12:50:55,google/gemma-3-4b-it,7,34,self_attn.v_proj,768,3600,2764800,463.7962341308594,597.2174682617188,133.42123413085938,0.2876720945802565,518.0054931640625,54.209259033203125,0.11688162827537765,4.2274894486175364e-08
2026-07-11 12:52:23,google/gemma-3-4b-it,7,34,self_attn.o_proj,960,4624,4439040,447.5248718261719,652.2945556640625,204.76968383789062,0.4575604546900524,519.0578002929688,71.53292846679688,0.15984123558295052,3.6008063811758966e-08
2026-07-11 12:54:03,google/gemma-3-4b-it,7,34,self_attn.q_proj,960,4624,4439040,465.17529296875,576.4253540039062,111.25006103515625,0.23915728697704053,509.6485290527344,44.473236083984375,0.09560532718785655,2.1537388081174434e-08
2026-07-11 12:55:40,google/gemma-3-4b-it,7,34,self_attn.k_proj,608,3600,2188800,488.6448669433594,592.0158081054688,103.37094116210938,0.2115461517251372,539.95654296875,51.311676025390625,0.10500811426990463,4.7975198405475434e-08
2026-07-11 12:59:36,google/gemma-3-4b-it,8,34,mlp.gate_proj,2208,12816,28297728,1153.5599365234375,1915.1302490234375,761.5703125,0.6601913679450385,1277.6883544921875,124.12841796875,0.10760465411346055,3.802589879776233e-09
2026-07-11 13:02:03,google/gemma-3-4b-it,8,34,mlp.up_proj,2208,12816,28297728,1043.36181640625,1982.162353515625,938.800537109375,0.8997842573374735,1178.755859375,135.39404296875,0.1297671055618084,4.5857782491162685e-09
2026-07-11 13:03:59,google/gemma-3-4b-it,8,34,mlp.down_proj,1792,12816,22966272,1024.8070068359375,1273.92333984375,249.1163330078125,0.24308609459741312,1062.3729248046875,37.56591796875,0.036656577988019134,1.5961048440086024e-09
2026-07-11 13:05:27,google/gemma-3-4b-it,8,34,self_attn.v_proj,768,3600,2764800,1013.1332397460938,1185.9892578125,172.85601806640625,0.17061528660309924,1083.1827392578125,70.04949951171875,0.06914144829487008,2.500775762979965e-08
2026-07-11 13:06:57,google/gemma-3-4b-it,8,34,self_attn.o_proj,960,4624,4439040,998.0313720703125,1226.6942138671875,228.662841796875,0.22911388178363337,1098.3045654296875,100.273193359375,0.1004709833433078,2.263349358043807e-08
2026-07-11 13:08:40,google/gemma-3-4b-it,8,34,self_attn.q_proj,960,4624,4439040,1023.5031127929688,1224.4876708984375,200.98455810546875,0.19636926902646687,1092.9061279296875,69.40301513671875,0.06780928584313685,1.5275664522765474e-08
2026-07-11 13:10:15,google/gemma-3-4b-it,8,34,self_attn.k_proj,608,3600,2188800,1054.32275390625,1245.1121826171875,190.7894287109375,0.18095922525058433,1147.2735595703125,92.9508056640625,0.08816162348738198,4.027851950264162e-08
2026-07-11 13:14:14,google/gemma-3-4b-it,9,34,mlp.gate_proj,2208,12816,28297728,1701.2554931640625,2562.36474609375,861.1092529296875,0.506161041883346,1831.740478515625,130.4849853515625,0.07669922940785416,2.710437721638082e-09
2026-07-11 13:16:44,google/gemma-3-4b-it,9,34,mlp.up_proj,2208,12816,28297728,1540.1834716796875,2688.993408203125,1148.8099365234375,0.7458916146337895,1694.384765625,154.2012939453125,0.10011878245722519,3.5380502087384963e-09
2026-07-11 13:18:41,google/gemma-3-4b-it,9,34,mlp.down_proj,1792,12816,22966272,1527.306640625,1981.3641357421875,454.0574951171875,0.29729294893354186,1595.343505859375,68.036865234375,0.04454695830205593,1.939668671609216e-09
2026-07-11 13:20:08,google/gemma-3-4b-it,9,34,self_attn.v_proj,608,3600,2188800,1559.1365966796875,1953.1585693359375,394.02197265625,0.2527180578631487,1716.6282958984375,157.49169921875,0.10101212398845734,4.614954495086684e-08
2026-07-11 13:21:38,google/gemma-3-4b-it,9,34,self_attn.o_proj,960,4624,4439040,1607.8619384765625,1904.3837890625,296.5218505859375,0.18441997007957647,1752.646484375,144.7845458984375,0.09004787191841844,2.0285438274586045e-08
2026-07-11 13:23:19,google/gemma-3-4b-it,9,34,self_attn.q_proj,960,4624,4439040,1685.0416259765625,1955.8072509765625,270.765625,0.16068779597244567,1796.3525390625,111.3109130859375,0.06605825717891538,1.4881203408600819e-08
2026-07-11 13:24:57,google/gemma-3-4b-it,9,34,self_attn.k_proj,608,3600,2188800,1734.4830322265625,2029.1243896484375,294.641357421875,0.1698727240033261,1873.5601806640625,139.0771484375,0.08018363157981784,3.66336036092004e-08
2026-07-11 13:28:43,google/gemma-3-4b-it,10,34,mlp.gate_proj,1792,12816,22966272,6086.3017578125,9189.287109375,3102.9853515625,0.5098310065844903,6699.57373046875,613.27197265625,0.10076266295358124,4.387419209943227e-09
2026-07-11 13:30:55,google/gemma-3-4b-it,10,34,mlp.up_proj,1824,12816,23376384,5565.802734375,11324.765625,5758.962890625,1.034704815364192,6342.62060546875,776.81787109375,0.13956978142542473,5.970546232703258e-09
2026-07-11 13:32:52,google/gemma-3-4b-it,10,34,mlp.down_proj,1792,12816,22966272,5531.982421875,6708.00390625,1176.021484375,0.21258590405578356,5684.4072265625,152.4248046875,0.02755337834855907,1.1997323008522703e-09
2026-07-11 13:34:15,google/gemma-3-4b-it,10,34,self_attn.v_proj,608,3600,2188800,5469.92578125,6058.26318359375,588.33740234375,0.10755857133573425,5770.0966796875,300.1708984375,0.054876594389349144,2.5071543489285976e-08
2026-07-11 13:35:41,google/gemma-3-4b-it,10,34,self_attn.o_proj,960,4624,4439040,5394.80615234375,6030.82958984375,636.0234375,0.11789551274677078,5725.53173828125,330.7255859375,0.06130444293977416,1.3810292977710082e-08
2026-07-11 13:37:20,google/gemma-3-4b-it,10,34,self_attn.q_proj,960,4624,4439040,5334.10107421875,6196.96826171875,862.8671875,0.16176431145455533,5889.04052734375,554.939453125,0.10403617130676104,2.3436637495215417e-08
2026-07-11 13:38:55,google/gemma-3-4b-it,10,34,self_attn.k_proj,608,3600,2188800,5724.62060546875,6458.67626953125,734.0556640625,0.12822782759808643,6138.44287109375,413.822265625,0.07228815569536157,3.3026386922222935e-08
2026-07-11 13:42:49,google/gemma-3-4b-it,11,34,mlp.gate_proj,2144,12816,27477504,39602.0625,50599.70703125,10997.64453125,0.2777038325024107,41660.81640625,2058.75390625,0.051986027400719344,1.89194867920752e-09
2026-07-11 13:45:11,google/gemma-3-4b-it,11,34,mlp.up_proj,1984,12816,25426944,36179.49609375,64545.0390625,28365.54296875,0.7840226103549889,39507.99609375,3328.5,0.09199962297360459,3.6181942656421703e-09
2026-07-11 13:47:07,google/gemma-3-4b-it,11,34,mlp.down_proj,1792,12816,22966272,36146.60546875,47822.09765625,11675.4921875,0.32300383496851093,37909.94921875,1763.34375,0.04878310776718638,2.1241195683472868e-09
2026-07-11 13:48:33,google/gemma-3-4b-it,11,34,self_attn.v_proj,608,3600,2188800,37248.21484375,41542.33984375,4294.125,0.11528404832320509,39555.62109375,2307.40625,0.06194676066166342,2.8301699863698566e-08
2026-07-11 13:50:01,google/gemma-3-4b-it,11,34,self_attn.o_proj,960,4624,4439040,37548.51953125,43866.40625,6317.88671875,0.1682592762010736,39665.10546875,2116.5859375,0.05636935793802623,1.2698546969170412e-08
2026-07-11 13:51:43,google/gemma-3-4b-it,11,34,self_attn.q_proj,960,4624,4439040,38250.8046875,41347.74609375,3096.94140625,0.0809640851101376,39700.3671875,1449.5625,0.03789626157783037,8.537039895524791e-09
2026-07-11 13:53:20,google/gemma-3-4b-it,11,34,self_attn.k_proj,608,3600,2188800,38935.08984375,41583.6484375,2648.55859375,0.06802497706770172,40514.36328125,1579.2734375,0.04056170009720706,1.8531478480083636e-08
