timestamp,model_id,block,total_blocks,layer,rank,attempt,base_rank,cap_rank,retry_cap_rank,outlier_k,outlier_dtype,outlier_metric,out_features,in_features,numel,raw_error,norm_error,objective_mode,pre_unwhiten_weighted_error,pre_unwhiten_weighted_norm_error,post_unwhiten_weighted_error,post_unwhiten_weighted_norm_error,export_weighted_error,export_weighted_norm_error,scale_fit_weighted_error,scale_fit_weighted_norm_error,retry_weighted_error,retry_weighted_norm_error,retry_utility_multiplier,retry_priority_error,retry_score,retry_weighted_threshold,retry_raw_norm_threshold,target_weighted_norm_sq,per_element_error,original_norm_sq,admm_seconds
2026-07-11 11:18:55,google/gemma-3-4b-it,1,34,mlp.gate_proj,2208,1,2016,2208,2560,3,bf16,residual,10240,2560,26214400,3246.499267578125,0.28768802745952493,diagonal,81.58698272705078,0.18340259815097923,81.58743286132812,0.183403610025585,81.58912658691406,0.18340741741816935,81.38198852539062,0.18294178359535168,81.38198852539062,0.18294177949428558,1.0,0.18294177949428558,0.7192200686488123,0.35,0.4,444.8518371582031,0.00012384411878883837,11284.791015625,35.36428904533386
2026-07-11 11:21:17,google/gemma-3-4b-it,1,34,mlp.up_proj,2176,1,2016,2208,2560,3,bf16,residual,10240,2560,26214400,3403.009765625,0.3008649815769216,diagonal,97.96239471435547,0.2509991583401191,97.96318817138672,0.2510011913350005,97.96866607666016,0.25101522681889316,97.68248748779297,0.25028198029965404,97.68248748779297,0.2502819895744324,1.0,0.2502819895744324,0.752162453942304,0.35,0.4,390.28973388671875,0.0001298145204782486,11310.75390625,33.157840728759766
2026-07-11 11:23:18,google/gemma-3-4b-it,1,34,mlp.down_proj,1792,1,2016,2208,2560,11,bf16,residual,2560,10240,26214400,575.2178955078125,0.3625833170208025,diagonal,449.43603515625,0.18948082856137682,449.44000244140625,0.18948250115640647,449.52215576171875,0.18951713673963572,448.40045166015625,0.18904422979417715,448.40045166015625,0.18904423713684082,1.0,0.18904423713684082,0.9064582925520062,0.35,0.4,2371.93408203125,2.1942821331322192e-05,1586.443359375,25.668155908584595
2026-07-11 11:24:41,google/gemma-3-4b-it,1,34,self_attn.v_proj,704,1,704,768,1024,3,bf16,residual,1024,2560,2621440,347.6570129394531,0.252965880768773,diagonal,75.20049285888672,0.21973507250936217,75.2007064819336,0.21973569671372453,75.20658111572266,0.21975286233368965,74.9422607421875,0.21898052090032383,74.9422607421875,0.21898052096366882,1.0,0.21898052096366882,0.6324147019219325,0.35,0.4,342.2325439453125,0.0001326206256635487,1374.32373046875,4.064069032669067
2026-07-11 11:26:09,google/gemma-3-4b-it,1,34,self_attn.o_proj,1056,1,1088,1184,2048,3,bf16,residual,2560,2048,5242880,214.69290161132812,0.28453692082342014,diagonal,76.46968841552734,0.16807351234416237,76.47036743164062,0.16807500476064088,76.47172546386719,0.16807798959359788,76.27234649658203,0.16763977251682524,76.27234649658203,0.16763977706432343,1.0,0.16763977706432343,0.7113423020585503,0.35,0.4,454.9776306152344,4.0949421236291525e-05,754.534423828125,5.465087413787842
2026-07-11 11:27:37,google/gemma-3-4b-it,1,34,self_attn.q_proj,960,1,1088,1184,2048,3,bf16,residual,2048,2560,5242880,479.2298889160156,0.30514576003488403,diagonal,18.243637084960938,0.2103731525277717,18.24371337890625,0.21037403229739873,18.245939254760742,0.21039969957626775,18.205385208129883,0.20993205803101223,18.205385208129883,0.20993205904960632,1.0,0.20993205904960632,0.76286440008721,0.35,0.4,86.72036743164062,9.140584734268486e-05,1570.4949951171875,5.286096096038818
2026-07-11 11:29:15,google/gemma-3-4b-it,1,34,self_attn.k_proj,608,1,704,768,1024,3,bf16,residual,1024,2560,2621440,452.15350341796875,0.32652569271772997,diagonal,33.63245391845703,0.2503625716141411,33.63252639770508,0.2503631111552336,33.62873840332031,0.250334913033927,33.57823944091797,0.24995899487697212,33.57823944091797,0.24995899200439453,1.0,0.24995899200439453,0.8163142317943248,0.35,0.4,134.33499145507812,0.00017248287331312896,1384.740966796875,4.0350258350372314
2026-07-11 11:33:19,google/gemma-3-4b-it,2,34,mlp.gate_proj,2208,1,2016,2208,2560,3,bf16,residual,10240,2560,26214400,2897.13330078125,0.27941045167894096,diagonal,94.99652862548828,0.17344654868895681,94.99751281738281,0.17344834564606487,95.01040649414062,0.17347188717717038,94.4996566772461,0.17253935001749038,94.4996566772461,0.1725393533706665,1.0,0.1725393533706665,0.6985261291973524,0.35,0.4,547.6991577148438,0.00011051686480641365,10368.736328125,34.7284631729126
2026-07-11 11:35:41,google/gemma-3-4b-it,2,34,mlp.up_proj,2208,1,2016,2208,2560,3,bf16,residual,10240,2560,26214400,3042.27490234375,0.2901558658149637,diagonal,103.31721496582031,0.2510914193446611,103.31765747070312,0.25109249476252954,103.32023620605469,0.2510987618528664,103.145751953125,0.2506747134623256,103.145751953125,0.2506747245788574,1.0,0.2506747245788574,0.7253896645374093,0.35,0.4,411.4725036621094,0.00011605357751250267,10484.9677734375,33.36326003074646
2026-07-11 11:37:44,google/gemma-3-4b-it,2,34,mlp.down_proj,1792,1,2016,2208,2560,11,bf16,residual,2560,10240,26214400,308.00048828125,0.3535233272167243,diagonal,341.8200988769531,0.29392364130694343,341.8223876953125,0.2939256094118872,341.7943115234375,0.29390146732457706,341.0947265625,0.2932999094881657,341.0947265625,0.29329991340637207,1.0,0.29329991340637207,0.8838083180418107,0.35,0.4,1162.9554443359375,1.1749286204576493e-05,871.2310180664062,25.17567205429077
2026-07-11 11:39:05,google/gemma-3-4b-it,2,34,self_attn.v_proj,768,1,704,768,1024,3,bf16,residual,1024,2560,2621440,782.8051147460938,0.27381822121004473,diagonal,174.17234802246094,0.24367671323836257,174.17359924316406,0.24367846376507898,174.17849731445312,0.2436853164367371,173.70216369628906,0.2430188994549543,173.70216369628906,0.24301889538764954,1.0,0.24301889538764954,0.6943397011075702,0.35,0.4,714.7681274414062,0.0002986164530739188,2858.849609375,4.386578798294067
2026-07-11 11:40:35,google/gemma-3-4b-it,2,34,self_attn.o_proj,1024,1,1088,1184,2048,3,bf16,residual,2560,2048,5242880,386.77020263671875,0.29059236085889434,diagonal,78.37115478515625,0.23307781050081125,78.37157440185547,0.23307905845156268,78.37074279785156,0.2330765852400735,78.23963165283203,0.23268665735529012,78.23963165283203,0.23268665373325348,1.0,0.23268665373325348,0.7264809021472358,0.35,0.4,336.2445983886719,7.377056172117591e-05,1330.9716796875,5.361371755599976
2026-07-11 11:42:02,google/gemma-3-4b-it,2,34,self_attn.q_proj,960,1,1088,1184,2048,3,bf16,residual,2048,2560,5242880,260.0522766113281,0.33464539748510325,diagonal,54.236656188964844,0.23544348076988805,54.236820220947266,0.2354441928392451,54.23745346069336,0.2354469417581582,54.14907455444336,0.2350632854125008,54.14907455444336,0.23506328463554382,1.0,0.23506328463554382,0.8366134937127581,0.35,0.4,230.35955810546875,4.960103542543948e-05,777.0980224609375,5.249664068222046
2026-07-11 11:43:40,google/gemma-3-4b-it,2,34,self_attn.k_proj,608,1,704,768,1024,3,bf16,residual,1024,2560,2621440,1005.2841186523438,0.350617222295735,diagonal,130.7273406982422,0.2244582749831827,130.72781372070312,0.22445908716068927,130.73342895507812,0.2244687284936706,130.56985473632812,0.22418787227203985,130.56985473632812,0.22418786585330963,1.0,0.22418786585330963,0.8765430557393374,0.35,0.4,582.4126586914062,0.0003834854578599334,2867.18408203125,3.6640572547912598
2026-07-11 11:47:39,google/gemma-3-4b-it,3,34,mlp.gate_proj,2016,1,2016,2208,2560,3,bf16,residual,10240,2560,26214400,3253.72509765625,0.31336741628852627,diagonal,122.17772674560547,0.21912761149728197,122.17825317382812,0.2191285556543074,122.17599487304688,0.21912450535750272,121.82254028320312,0.2184905791738336,121.82254028320312,0.2184905856847763,1.0,0.2184905856847763,0.7834185407213157,0.35,0.4,557.5642700195312,0.00012411976233124732,10383.099609375,29.496623277664185
2026-07-11 11:49:52,google/gemma-3-4b-it,3,34,mlp.up_proj,1888,1,2016,2208,2560,3,bf16,residual,10240,2560,26214400,3668.377685546875,0.35308590028371556,diagonal,131.02049255371094,0.3104702062738813,131.02096557617188,0.31047132716251596,131.0114288330078,0.31044872860133205,130.6644287109375,0.30962646639351693,130.6644287109375,0.3096264600753784,1.0,0.3096264600753784,0.8846470287867956,0.35,0.4,422.00665283203125,0.0001399375032633543,10389.4765625,26.99753212928772
2026-07-11 11:51:51,google/gemma-3-4b-it,3,34,mlp.down_proj,1792,1,2016,2208,2560,11,bf16,residual,2560,10240,26214400,534.2691650390625,0.3596146588764302,diagonal,397.0152587890625,0.28909087919262344,397.0159912109375,0.28909141251339415,397.00225830078125,0.2890814127489441,396.36798095703125,0.2886195569615471,396.36798095703125,0.2886195480823517,1.0,0.2886195480823517,0.8990366471910755,0.35,0.4,1373.3233642578125,2.0380751229822636e-05,1485.6712646484375,25.315072536468506
2026-07-11 11:53:10,google/gemma-3-4b-it,3,34,self_attn.v_proj,768,1,704,768,1024,3,bf16,residual,1024,2560,2621440,597.8641967773438,0.2696581872807449,diagonal,298.682861328125,0.24832502068351822,298.6842041015625,0.24832613706575776,298.7026062011719,0.24834143657690413,297.65936279296875,0.24747408369375565,297.65936279296875,0.2474740892648697,1.0,0.2474740892648697,0.7070688264710563,0.35,0.4,1202.7900390625,0.000228067091666162,2217.11865234375,4.251596212387085
2026-07-11 11:54:37,google/gemma-3-4b-it,3,34,self_attn.o_proj,960,1,1088,1184,2048,3,bf16,residual,2560,2048,5242880,260.1673583984375,0.35090526053051574,diagonal,130.1498260498047,0.27082374308017393,130.15008544921875,0.27082428285438953,130.18353271484375,0.27089388197678016,129.76242065429688,0.2700176061648566,129.76242065429688,0.2700175940990448,1.0,0.2700175940990448,0.8772631513262893,0.35,0.4,480.5702209472656,4.962298553436995e-05,741.4176635742188,5.535440444946289
2026-07-11 11:56:03,google/gemma-3-4b-it,3,34,self_attn.q_proj,960,1,1088,1184,2048,3,bf16,residual,2048,2560,5242880,296.2933044433594,0.2963660935766939,diagonal,183.411376953125,0.19227779621987842,183.41238403320312,0.19227885198392783,183.40463256835938,0.1922707258000324,182.87249755859375,0.19171286647489727,182.87249755859375,0.1917128711938858,1.0,0.1917128711938858,0.7409152339417348,0.35,0.4,953.887451171875,5.6513462914153935e-05,999.75439453125,5.145541667938232
2026-07-11 11:57:39,google/gemma-3-4b-it,3,34,self_attn.k_proj,608,1,704,768,1024,3,bf16,residual,1024,2560,2621440,752.2710571289062,0.3373049808195083,diagonal,297.15008544921875,0.21205554858650164,297.1517333984375,0.21205672461435,297.18182373046875,0.21207819801172892,296.3320617675781,0.21147178142956202,296.3320617675781,0.2114717811346054,1.0,0.2114717811346054,0.8432624520487708,0.35,0.4,1401.2841796875,0.00028696863446384666,2230.239990234375,3.709270715713501
2026-07-11 12:01:41,google/gemma-3-4b-it,4,34,mlp.gate_proj,2208,1,2016,2208,2560,3,bf16,residual,10240,2560,26214400,3221.023193359375,0.28391150811925164,diagonal,166.45046997070312,0.19480483439666296,166.45138549804688,0.19480590588148736,166.44686889648438,0.19480061988968705,166.15127563476562,0.19445467315605497,166.15127563476562,0.19445466995239258,1.0,0.19445466995239258,0.7097787702981291,0.35,0.4,854.4473266601562,0.00012287228368222712,11345.166015625,33.85234713554382
